 0  0 | 4564 1120  440 | 2000 1000    0 | 5000 1000    0
 0  1 | 2063 2590  434 | 3858 2399  413 | 3266 3430  458
 0  2 | 4564 1120  440 | 2121 1388  403 | 2000 1000    0
 0  3 | 2063 2590  434 | 2121 1388  403 | 3858 2399  413
 0  4 | 3858 2399  413 | 5000 1000    0 | 5000 4000    0
 0  5 | 3858 2399  413 | 4564 1120  440 | 5000 1000    0
 0  6 | 3266 3430  458 | 3858 2399  413 | 5000 4000    0
 0  7 | 3858 2399  413 | 2121 1388  403 | 4564 1120  440
 0  8 | 3266 3430  458 | 5000 4000    0 | 2000 4000    0
 0  9 | 2063 2590  434 | 3266 3430  458 | 2000 4000    0
 0 10 | 2063 2590  434 | 2000 4000    0 | 2000 1000    0
